attachedPathNodes,attachedPathRels,autocatPathNodes,autocatPathRels,beginMol,beginMolConsumer,branchedBeginMolPathNodes,branchedBeginMolPathRels,catMolInRing,consumerMol,countMolsInRing,feederMol,intermediateMol,ringMols,ringPathNodes,ringRels,ringRules,catRxnInRing
"[{'exact_mass': 0.0, 'smiles_str': 'C(C(CO)O)(CC(CO)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1185_0', 'rule': 'Retro Aldol', 'generation_formed': 3}, {'rule': 'Knoevenagel H', 'rxn_id': '2047_0', 'generation_formed': 3}]","[{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '40_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}]","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1580_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}]","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}",5,"{'exact_mass': 0.0, 'smiles_str': 'C(C(CO)O)(CC(CO)O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(CO)O)O)(O)=O', 'C(CO)=O', 'C(C(C(CC(C=O)O)O)O)=O', 'C(C(C(CC(CO)=O)O)O)=O']","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)O)(O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(C=O)O)O)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(CO)=O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '130_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}, {'rxn_id': '2054_0', 'rule': 'Knoevenagel H (inv)', 'generation_formed': 3}, {'rxn_id': '1064_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}, {'rxn_id': '1335_0', 'rule': 'Keto-enol migration twice', 'generation_formed': 3}, {'rxn_id': '273_0', 'rule': 'Hydration of C(=O)C', 'generation_formed': 3}]","['Cannizarro 2, glucose (reduction)', 'Knoevenagel H (inv)', 'Knoevenagel H', 'Keto-enol migration twice', 'Hydration of C(=O)C']",
"[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(C(CO)O)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1219_2', 'rule': 'Knoevenagel H (inv)', 'generation_formed': 3}, {'rule': 'Knoevenagel H', 'rxn_id': '2047_0', 'generation_formed': 3}]","[{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '40_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}]","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1580_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}]","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}",5,"{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(C(CO)O)O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(CO)O)O)(O)=O', 'C(CO)=O', 'C(C(C(CC(C=O)O)O)O)=O', 'C(C(C(CC(CO)=O)O)O)=O']","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)O)(O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(C=O)O)O)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(CO)=O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '130_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}, {'rxn_id': '2054_0', 'rule': 'Knoevenagel H (inv)', 'generation_formed': 3}, {'rxn_id': '1064_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}, {'rxn_id': '1335_0', 'rule': 'Keto-enol migration twice', 'generation_formed': 3}, {'rxn_id': '273_0', 'rule': 'Hydration of C(=O)C', 'generation_formed': 3}]","['Cannizarro 2, glucose (reduction)', 'Knoevenagel H (inv)', 'Knoevenagel H', 'Keto-enol migration twice', 'Hydration of C(=O)C']",
"[{'exact_mass': 0.0, 'smiles_str': 'C(C(CO)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1146_1', 'rule': 'Knoevenagel H (inv)', 'generation_formed': 3}, {'rule': 'Knoevenagel H', 'rxn_id': '2047_0', 'generation_formed': 3}]","[{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '40_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}]","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1580_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}]","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}",5,"{'exact_mass': 0.0, 'smiles_str': 'C(C(CO)O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(CO)O)O)(O)=O', 'C(CO)=O', 'C(C(C(CC(C=O)O)O)O)=O', 'C(C(C(CC(CO)=O)O)O)=O']","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)O)(O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(C=O)O)O)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(CO)=O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '130_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}, {'rxn_id': '2054_0', 'rule': 'Knoevenagel H (inv)', 'generation_formed': 3}, {'rxn_id': '1064_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}, {'rxn_id': '1335_0', 'rule': 'Keto-enol migration twice', 'generation_formed': 3}, {'rxn_id': '273_0', 'rule': 'Hydration of C(=O)C', 'generation_formed': 3}]","['Cannizarro 2, glucose (reduction)', 'Knoevenagel H (inv)', 'Knoevenagel H', 'Keto-enol migration twice', 'Hydration of C(=O)C']",
"[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C)=O)O)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1151_0', 'rule': 'Retro Aldol', 'generation_formed': 3}, {'rule': 'Knoevenagel H', 'rxn_id': '2047_0', 'generation_formed': 3}]","[{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '40_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}]","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(CC(C(O)=O)=O)O)=O', 'generation_formed': 3}]","[{'rxn_id': '1580_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}]","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)(CC(CO)=O)O)=O', 'generation_formed': 3}",5,"{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C)=O)O)O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}","['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(CO)O)O)(O)=O', 'C(CO)=O', 'C(C(C(CC(C=O)O)O)O)=O', 'C(C(C(CC(CO)=O)O)O)=O']","[{'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)O)O)(O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(C=O)O)O)O)=O', 'generation_formed': 2}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CC(CO)=O)O)O)=O', 'generation_formed': 1}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(C(C(CO)O)O)O)O)=O', 'generation_formed': 1}]","[{'rxn_id': '130_0', 'generation_formed': 3, 'rule': 'Cannizarro 2, glucose (reduction)'}, {'rxn_id': '2054_0', 'rule': 'Knoevenagel H (inv)', 'generation_formed': 3}, {'rxn_id': '1064_1', 'rule': 'Knoevenagel H', 'generation_formed': 3}, {'rxn_id': '1335_0', 'rule': 'Keto-enol migration twice', 'generation_formed': 3}, {'rxn_id': '273_0', 'rule': 'Hydration of C(=O)C', 'generation_formed': 3}]","['Cannizarro 2, glucose (reduction)', 'Knoevenagel H (inv)', 'Knoevenagel H', 'Keto-enol migration twice', 'Hydration of C(=O)C']",
"[{'exact_mass': 0.0, 'smiles_str': 'C(CC(CO)=O)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Aldol Condensation', 'id': '381_0'}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'generation_formed': 3}, {'generation_formed': 4, 'rule': 'Hemiacetal Formation for 5 membered rings', 'id': '19316_0'}, {'exact_mass': 0.0, 'smiles_str': 'C1(COC(C1C(CO)(CO)O)O)=O', 'generation_formed': 4}]","[{'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 4}, {'generation_formed': 4}]","[{'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC=O)=O', 'generation_formed': 3}, {'generation_formed': 4, 'rule': 'Aldol Condensation', 'id': '5417_0'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}]","[{'generation_formed': 3}, {'generation_formed': 4}, {'generation_formed': 4}]","{'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(CC=O)=O', 'generation_formed': 3}","[{'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC=O)=O', 'generation_formed': 3}]","[{'generation_formed': 3}, {'generation_formed': 3}]",,"{'exact_mass': 0.0, 'smiles_str': 'C1(COC(C1C(CO)(CO)O)O)=O', 'generation_formed': 4}",5,"{'exact_mass': 0.0, 'smiles_str': 'C(CC(CO)=O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'generation_formed': 3}","['C(CC(C(C(CO)=O)O)O)=O', 'C(CO)(CO)=O', 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'C(CO)(CO)=O', 'C(CC(C(C(CO)=O)O)O)=O']","[{'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)(CO)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Aldol Condensation', 'id': '381_0'}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'generation_formed': 3}, {'rule': 'Knoevenagel C (inverse)', 'generation_formed': 4, 'id': '8731_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)(CO)=O', 'generation_formed': 2}, {'generation_formed': 4, 'rule': 'Knoevenagel H', 'id': '5417_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}]","[{'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 4}, {'generation_formed': 4}, {'generation_formed': 4}, {'generation_formed': 4}]","[None, None, None, None, None, None, None, None]","{'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}"
"[{'exact_mass': 0.0, 'smiles_str': 'C(CC(CO)=O)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Aldol Condensation', 'id': '381_0'}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'generation_formed': 3}, {'rule': 'Elimination + enol to keto', 'generation_formed': 4, 'id': '15180_0'}, {'exact_mass': 0.0, 'smiles_str': 'C(C(CO)C(C=O)C(CO)=O)=O', 'generation_formed': 4}]","[{'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 4}, {'generation_formed': 4}]","[{'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC=O)=O', 'generation_formed': 3}, {'generation_formed': 4, 'rule': 'Aldol Condensation', 'id': '5417_0'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}]","[{'generation_formed': 3}, {'generation_formed': 4}, {'generation_formed': 4}]","{'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(CC=O)=O', 'generation_formed': 3}","[{'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC=O)=O', 'generation_formed': 3}]","[{'generation_formed': 3}, {'generation_formed': 3}]",,"{'exact_mass': 0.0, 'smiles_str': 'C(C(CO)C(C=O)C(CO)=O)=O', 'generation_formed': 4}",5,"{'exact_mass': 0.0, 'smiles_str': 'C(CC(CO)=O)=O', 'generation_formed': 2}","{'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'generation_formed': 3}","['C(CC(C(C(CO)=O)O)O)=O', 'C(CO)(CO)=O', 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'C(CO)(CO)=O', 'C(CC(C(C(CO)=O)O)O)=O']","[{'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)(CO)=O', 'generation_formed': 2}, {'generation_formed': 3, 'rule': 'Aldol Condensation', 'id': '381_0'}, {'exact_mass': 0.0, 'smiles_str': 'C(C(C(CO)=O)C(CO)(CO)O)=O', 'generation_formed': 3}, {'rule': 'Knoevenagel C (inverse)', 'generation_formed': 4, 'id': '8731_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CO)(CO)=O', 'generation_formed': 2}, {'generation_formed': 4, 'rule': 'Knoevenagel H', 'id': '5417_1'}, {'exact_mass': 0.0, 'smiles_str': 'C(CC(C(C(CO)=O)O)O)=O', 'generation_formed': 2}]","[{'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 3}, {'generation_formed': 4}, {'generation_formed': 4}, {'generation_formed': 4}, {'generation_formed': 4}]","[None, None, None, None, None, None, None, None]","{'generation_formed': 3, 'rule': 'Knoevenagel H (inv)', 'id': '1178_1'}"
